Variable,Coefficient,SE,CI_Lower,CI_Upper,Significant,Abs_Coef,Shrunk_Coefficient
cormobid_condition,0.35400184641813814,0.10278556033458913,0.1522944198730829,0.5557092729631934,True,0.35400184641813814,0.3888857044208949
gcs_baseline,-0.311652719758036,0.15570238214663012,-0.618808550891687,-0.00449688862438502,True,0.311652719758036,-0.34236343308400813
age,0.28972403543805664,0.13792507884529626,0.018968727431025956,0.5604793434450873,True,0.28972403543805664,0.31827386424394666
pulse_baseline,0.2652336772013807,0.14713674657688616,-0.023931727160373728,0.5543990815631351,False,0.2652336772013807,0.29137019040508105
site_based_sample___1,0.23287216711699762,0.15562599347520215,-0.07258582960821011,0.5383301638422053,False,0.23287216711699762,0.2558197299410297
infect_site___2,0.2180509875482915,0.10205864557754432,0.01777346251310477,0.41832851258347825,True,0.2180509875482915,0.23953804973160822
complications,0.21027767020598287,0.09276084043977015,0.0282443353042251,0.39231100510774064,True,0.21027767020598287,0.23099873836660412
res_district,0.2001746235576789,0.1213518896442591,-0.037976755021205955,0.43832600213656375,False,0.2001746235576789,0.21990012277355972
ward,-0.19200666920602535,0.11264492570391534,-0.41305659812796613,0.029043259715915398,False,0.19200666920602535,-0.21092728629301602
systolic_bp_baseline,-0.14187340765546375,0.13154873226174926,-0.40041180572427604,0.11666499041334855,False,0.14187340765546375,-0.15585382006600995
facility_category,0.13386726686110587,0.14639461263040657,-0.15428395478492704,0.42201848850713874,False,0.13386726686110587,0.14705874248658635
temp_baseline,0.12379732451122161,0.15619295125976343,-0.1837458420804261,0.4313404911028693,False,0.12379732451122161,0.13599649333778674
sex,0.10127742110323795,0.11120688147384772,-0.11695582033934745,0.3195106625458234,False,0.10127742110323795,0.11125744581892183
antib_prior_admi,0.09960316457211216,0.11180946179380777,-0.11980994068962073,0.319016269833845,False,0.09960316457211216,0.10941820560852168
allergies,0.08918672180110723,0.07931298425733856,-0.06646027177883401,0.24483371538104848,False,0.08918672180110723,0.09797531138198289
rr_baseline,0.08629803372171586,0.1657102608861624,-0.23926859615007118,0.4118646635935029,False,0.08629803372171586,0.09480196776817738
admission_date,-0.08226848165355205,0.10946595286573974,-0.29708651085072457,0.13254954754362047,False,0.08226848165355205,-0.09037533776501741
first_organism,-0.07834253738351522,0.15605069604488953,-0.38528211267312457,0.22859703790609415,False,0.07834253738351522,-0.0860625252234492
occupation,-0.05594536822944903,0.1505061730316356,-0.35218662629614317,0.24029588983724512,False,0.05594536822944903,-0.0614583063708023
infect_site___1,0.05301293825777849,0.15047097468341214,-0.24227529167620615,0.3483011681917631,False,0.05301293825777849,0.0582369104748864
infect_site___3,0.048227601049358526,0.10805290089438323,-0.16381957532387129,0.2602747774225883,False,0.048227601049358526,0.05298001916198118
referral,-0.03376976143042929,0.11187458262130302,-0.25331172054121,0.1857721976803514,False,0.03376976143042929,-0.037097482950657235
hiv_status,-0.022642425082446342,0.11236200292003762,-0.24318510649452205,0.19790025632962935,False,0.022642425082446342,-0.024873642657738754
spo2_baseline,-0.016419669611450357,0.13124029737798174,-0.2744766022442807,0.24163726302138,False,0.016419669611450357,-0.018037687791224083
name_of_rrh,-0.007733983962533754,0.12339454363118078,-0.24988292334193224,0.23441495541686475,False,0.007733983962533754,-0.008496102016646823
